"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Honduras","HND",NA,55.4,55.7,58.1,58.1,59.5,57.5,55.8,55.5,51.3,53.1,52.6,53.4,50,49.9,49.2,49.8,49.4,48.9,48.2,NA,NA,NA,46.8,45.7
"Croacia","HRV",31.3,31.1,NA,NA,29.7,NA,NA,NA,33.7,32.6,32.4,32.3,32.5,32,32.1,31.1,30.9,30.4,29.7,28.9,29.5,28.9,30,30.1,NA
"Hungría","HUN",27.2,26.9,26.8,30.9,29.9,34.7,28.3,27.9,27.5,27,29.4,29.2,30.8,31.5,30.9,30.4,30.3,30.6,NA,NA,NA,NA,NA,NA,NA
"Indonesia","IDN",30.3,31.2,30.2,29.3,30.4,29.9,31.5,33.2,32.6,33.4,34.6,37.9,37.1,38.9,38.8,38.2,36.9,36.4,36.3,35.4,35.3,35.5,35.5,36.1,34.9
"India","IND",NA,NA,NA,NA,27.7,NA,NA,NA,NA,27.8,NA,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,NA,NA
"Irlanda","IRL",33,NA,32.3,32.9,33.6,33.8,32.7,31.9,30.9,32.7,32.3,32.9,33.2,33.5,31.9,31.8,32.8,31.4,30.6,30.3,29.2,29.4,29.9,29,NA
"Irán, República Islámica del","IRN",NA,NA,NA,NA,NA,43.6,44.8,NA,NA,42.1,NA,34.7,34.4,34,34.8,35.3,35.9,36.7,37.4,36.5,35.8,35.5,34.8,35.9,NA
"Islandia","ISL",NA,NA,NA,26.8,28,29,30.2,29.5,31.8,28.7,26.2,26.8,26.8,25.4,27.8,26.8,27.2,26.1,26.6,26.8,NA,NA,NA,NA,NA
"Israel","ISR",NA,38.9,39.6,40.7,41.5,42.3,41.6,41.1,41.6,42.6,42.6,41.4,41.3,39.9,39.8,39.7,39,38.2,38.6,38.3,37.8,37.9,NA,NA,NA
"Italia","ITA",35.2,NA,34.7,34.9,34.3,33.8,33.7,32.9,33.8,33.8,34.7,35.1,35.2,34.9,34.7,35.4,35.2,35.9,35.2,34.6,35.2,34.8,33.7,34.3,NA
"Jamaica","JAM",NA,NA,48.3,NA,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,NA,NA,39.9,NA,NA,NA
"Jordania","JOR",NA,NA,37,NA,NA,NA,33.9,NA,32.6,NA,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Japón","JPN",NA,NA,NA,NA,NA,NA,NA,NA,34.6,33,31.5,33,32.5,31.5,31.3,30.7,31.8,31.8,32.9,33,32.3,NA,NA,NA,NA
"Kazajstán","KAZ",NA,36,34.8,33.7,31.8,39.8,30.2,30.1,28.5,28.2,28,28,28.2,27.1,27,26.8,27.2,27.5,27.8,28,28.7,29.2,NA,NA,NA
"Kenya","KEN",NA,NA,NA,NA,NA,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,NA,NA,NA,NA,36.2,38.7,37.7,NA,NA
"Kirguistán","KGZ",31,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8,29,26.8,27.3,27.7,29.7,29,28.8,26.4,27.2,NA
"Corea, República de","KOR",NA,NA,NA,NA,NA,NA,31.7,NA,32.3,NA,32,NA,31.6,NA,31.2,NA,35.2,34.9,33.7,33.2,32.7,32.9,NA,NA,NA
"República Democrática Popular Lao","LAO",NA,NA,32.6,NA,NA,NA,NA,35.4,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,38.8,NA,NA,NA,NA,NA,NA
"Sri Lanka","LKA",NA,NA,40.2,NA,NA,NA,39.7,NA,NA,36.1,NA,NA,38.7,NA,NA,NA,39.3,NA,NA,37.7,NA,NA,NA,NA,NA
"Lituania","LTU",31.7,32,31.9,35.5,37,35.3,34.4,34.8,35.7,37.2,33.6,32.5,35.1,35.3,37.7,37.4,38.4,37.3,35.7,35.3,36,36.7,36.6,36,NA
"Luxemburgo","LUX",30.1,30.9,31.1,30.2,30.2,30.8,30.9,31.1,32.6,31.2,30.5,32.1,34.3,32,31.2,32.9,31.7,34.5,35.4,34.2,33.4,32.7,34.1,33.6,NA
"Letonia","LVA",NA,NA,35.1,36.5,36.4,39,35.6,37.5,37.2,35.9,35,35.8,35.2,35.5,35.1,34.2,34.3,35.6,35.1,34.5,35.7,34.3,33.7,34,NA
"República de Moldova","MDA",36.4,38,35.8,34.9,35,36.3,35.4,34.4,34.7,32.9,32.1,30.6,29.2,28.5,26.8,27,26.3,25.9,25.7,26,25,25.7,25.9,26.8,NA
"Madagascar","MDG",NA,47.4,NA,NA,NA,39.9,NA,NA,NA,NA,42.4,NA,42.6,NA,NA,NA,NA,NA,NA,NA,NA,36.8,NA,NA,NA
"Maldivas","MDV",NA,NA,41.3,NA,NA,NA,NA,NA,NA,38.4,NA,NA,NA,NA,NA,NA,31.3,NA,NA,29.3,NA,NA,NA,NA,NA
"México","MEX",53.4,NA,50.6,NA,50.3,50.9,49.7,NA,50.8,NA,47.7,NA,49.6,NA,48.9,NA,46.9,NA,46,NA,44.6,NA,43.5,NA,NA
"Macedonia del Norte","MKD",34.3,NA,38.5,38.7,38.4,39.3,42.6,NA,46.1,42.8,40.1,39.4,38.1,36.2,35.2,35.6,34.5,34.2,33,33.5,NA,NA,NA,NA,NA
"Malí","MLI",NA,39.9,NA,NA,NA,NA,38.9,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,35.7,NA,NA,NA
"Malta","MLT",NA,NA,NA,NA,NA,NA,28,29.2,29,30.2,29,29.1,29.4,28.8,29,29.4,29.1,29.2,28.7,31,31.4,31.6,34.6,NA,NA
"Montenegro","MNE",NA,NA,NA,NA,NA,30.2,30,31.4,30.5,31,28.9,30.8,41.2,39,38.8,39,38.5,36.9,36.8,35.7,35.4,34.3,NA,NA,NA
"Mongolia","MNG",NA,NA,32.9,NA,NA,NA,NA,35.8,NA,NA,33.1,33.9,33.8,NA,32,NA,32.3,NA,32.7,NA,NA,NA,31.4,NA,NA
"Mozambique","MOZ",NA,NA,46.9,NA,NA,NA,NA,NA,45.5,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,50.7,NA,NA,49.6,NA,NA
"Mauritania","MRT",39,NA,NA,NA,40.2,NA,NA,NA,35.7,NA,NA,NA,NA,NA,32.6,NA,NA,NA,NA,32,NA,NA,NA,NA,NA
"Malawi","MWI",NA,NA,NA,NA,39.9,NA,NA,NA,NA,NA,45.5,NA,NA,NA,NA,NA,44.7,NA,NA,38.5,NA,NA,NA,NA,NA
"Malasia","MYS",NA,NA,NA,46.4,NA,NA,44.8,NA,45.5,NA,NA,43.9,NA,41.3,NA,41.1,NA,NA,41.2,NA,NA,40.7,NA,NA,NA
"Níger","NER",NA,NA,NA,NA,NA,44.4,NA,37.3,NA,NA,NA,31.5,NA,NA,34.3,NA,NA,NA,37.3,NA,NA,32.9,NA,NA,NA
"Nigeria","NGA",NA,NA,NA,40.1,NA,NA,NA,NA,NA,NA,35.7,NA,35.5,NA,NA,35.9,NA,NA,35.1,NA,NA,NA,33.9,NA,NA
"Nicaragua","NIC",NA,52.9,NA,NA,NA,48.8,NA,NA,NA,43.9,NA,NA,NA,NA,46.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Países Bajos","NLD",NA,NA,NA,NA,29.8,29,30,29.6,29.3,27.9,27.8,27.8,27.6,28.1,28.6,28.2,28.2,28.5,28.1,29.2,26,25.7,NA,NA,NA
"Noruega","NOR",27.4,NA,NA,27.6,31.6,30.6,26.4,27.1,27,26.2,25.7,25.3,25.7,26.4,26.8,27.5,28.5,27,27.6,27.7,28.4,29.1,26.9,26.5,NA
