"Guatemala","GTM",4.51111111111111,4.55555555555556,4.57777777777778
"Honduras","HND",3.7,3.6,3.6
"Croatia","HRV",7.3,8,8.2
"Hungary","HUN",7.8,7.9,7.9
"Indonesia","IDN",7.4,7.6,7.6
"India","IND",9.95454545454546,10.2090909090909,10.3363636363636
"Ireland","IRL",8,8.8,9
"Iran, Islamic Rep.","IRN",7.2,6.9,7
"Iceland","ISL",9.5,9.4,9.4
"Israel","ISR",5.1,5.3,5.6
"Italy","ITA",5.9,6.3,6.5
"Jamaica","JAM",6.87142857142857,6.76666666666667,5.7
"Jordan","JOR",8.2,8.2,8.2
"Japan","JPN",7.9,6.8,6.9
"Kazakhstan","KAZ",10,9.8,9.8
"Kenya","KEN",6.2,7.08,7.2
"Kyrgyz Republic","KGZ",9.5,9.6,9.5
"Korea, Rep.","KOR",7.15,7.4,7.5
"Lao PDR","LAO",7.3,7,7
"Sri Lanka","LKA",7.15,7.4,7.4
"Lithuania","LTU",6.1,7,7
"Luxembourg","LUX",7.5,7.2,7.2
"Latvia","LVA",7.1,7.1,7.1
"Moldova","MDA",9.7,10,10.1
"Madagascar","MDG",6.2,6.86666666666667,7.2
"Maldives","MDV",8.02857142857143,8.9,8.9
"Mexico","MEX",4.85,5.25,5.45
"North Macedonia","MKD",5.6,5.8,5.8
"Mali","MLI",7.66666666666667,7.53333333333333,7.6
"Malta","MLT",8.5,8.2,8.3
"Montenegro","MNE",5.2,5.9,6.2
"Mongolia","MNG",8.05,7.975,8.125
"Mozambique","MOZ",4.26,4.5,4.63333333333333
"Mauritania","MRT",7.56,7.8,7.8
"Malawi","MWI",6.25,7,7
"Malaysia","MYS",5.8,5.76666666666667,5.9
"Niger","NER",7.75,7.96666666666667,8.7
"Nigeria","NGA",7,7.2,7.4
"Nicaragua","NIC",5.1,5.1,5.1
"Netherlands","NLD",8.9,8.6,9.4
"Norway","NOR",9,8.8,8.8
"Pakistan","PAK",9.3,9.6,9.6
"Panama","PAN",3.4,3.6,3.7
"Peru","PER",4.7,5.2,5.8
"Philippines","PHL",5.6,6.3,6.5
"Poland","POL",7.4,8.6,8.6
"Portugal","PRT",6.7,7.6,7.4
"Paraguay","PRY",4.3,4.8,5.5
"West Bank and Gaza","PSE",7.38,7,6.8
"Romania","ROU",5.1,5.7,6
"Russian Federation","RUS",6.2,6.7,6.9
"Rwanda","RWA",6,6.6,7
"Senegal","SEN",6.67142857142857,7.16666666666667,7.3
"El Salvador","SLV",6.1,6.3,5.6
"Serbia","SRB",4.4,6.4,7.1
"Slovak Republic","SVK",8.5,9.5,9.1
"Slovenia","SVN",9.6,10.1,10.2
"Sweden","SWE",8.2,8.1,7.8
"Syrian Arab Republic","SYR",7.63846153846154,8.53076923076923,8.97692307692308
"Chad","TCD",6.15714285714286,7.05,6.95
"Togo","TGO",5.1,6.13333333333333,6.8
"Thailand","THA",7.5,7.7,7.6
"Tajikistan","TJK",7.4,7.53333333333333,7.6
"Tonga","TON",7.7,8.76666666666667,9.3
"Tunisia","TUN",7.8,7.73333333333333,7.7
"Turkiye","TUR",5.6,5.2,5.2
"Tanzania","TZA",7.11428571428571,6.9,6.9
"Uganda","UGA",6.175,6.1,6.1
"Ukraine","UKR",10,9.7,10
"Uruguay","URY",5.6,5.8,5.7
"United States","USA",5.4,5.2,6.1
"Uzbekistan","UZB",7.16666666666667,7.05555555555556,7
"Venezuela, RB","VEN",4.3,4.3,4.3
"Viet Nam","VNM",7,6.65,6.7
"Kosovo","XKX",9.5,4.3,1.9
"South Africa","ZAF",2.4,2.4,2.4
"Zambia","ZMB",3.1,3.55714285714286,3.78571428571429
