"Country Name","Country Code","2015","2019","2021","log_2015","log_2019","log_2021"
"Portugal","PRT",19215.7813014347,23343.3628970034,24711.4510062111,9.86348716318894,10.0580679784523,10.1150220186755
"Paraguay","PRY",5879.33792308671,5821.18199548637,5976.9317978996,8.67919943643852,8.66925861211306,8.69566263800118
"West Bank and Gaza","PSE",3272.15432360708,3656.85827137011,3678.63565662194,8.093203861527,8.20435966196225,8.21029721693671
"Romania","ROU",8977.01748158196,12992.0326104674,14986.7854904274,9.10242297712941,9.47209157244044,9.61492412449975
"Russian Federation","RUS",9277.7138671875,11447.701171875,12425.029296875,9.13537044491238,9.3455442178099,9.42746820885943
"Rwanda","RWA",733.998630392314,810.051412137354,829.544845639777,6.59850716266225,6.69709771742675,6.72087717162877
"Senegal","SEN",1218.00613555438,1431.18128932159,1598.10676952274,7.10497048565812,7.26625545868926,7.37657493856403
"El Salvador","SLV",3790.34089108162,4320.11671534627,4642.60743101342,8.24021123890809,8.37103769831446,8.44303143372668
"Serbia","SRB",5820.3215576888,7755.632986437,9680.52798074468,8.66911078966123,8.95617469528895,9.17787172224854
"Slovak Republic","SVK",16442.0760860018,19406.0589683582,22132.4483028948,9.70759894324071,9.87334061424693,10.0048000596819
"Slovenia","SVN",20697.2748530619,25814.1687167572,29187.369382785,9.93775732097635,10.1586787952364,10.2814913392932
"Sweden","SWE",51197.9529341175,51773.0464558993,61174.9680215622,10.8434548284728,10.8546249541352,11.0214933655737
"Syrian Arab Republic","SYR",847.731631942565,1109.53926036049,663.614245706815,6.7425641139383,7.0117001273802,6.49770102539572
"Chad","TCD",993.990730610869,893.336441643325,946.358500208374,6.90172788127192,6.79496326428222,6.85262146154252
"Togo","TGO",751.052405084336,826.260654099894,939.613373786407,6.62147542973484,6.71691028560608,6.84546848617261
"Thailand","THA",5688.85335397884,7605.69657797759,7057.20754802279,8.64626398730096,8.93665279523621,8.86180472080256
"Tajikistan","TJK",956.916310930656,871.022372934846,896.748053372182,6.86371593823578,6.76966766301497,6.79877494565139
"Tonga","TON",4123.90347238813,4676.84802517145,4912.57966349119,8.32455543855548,8.45037966311444,8.49955447253279
"Tunisia","TUN",4014.94773686432,3528.87213306798,3906.93926319391,8.29777960932586,8.16873358982755,8.27050954929664
"Turkiye","TUR",11049.9951100942,9215.44049888114,9743.21277804855,9.31018526442039,9.12863567133594,9.1843261962558
"Tanzania","TZA",939.127319335938,1063.32250976563,1159.85656738281,6.84495106036383,6.96915372815518,7.05605162764734
"Uganda","UGA",862.934610355811,822.171150141651,882.791717442001,6.76033891805723,6.71194858523426,6.78308929219312
"Ukraine","UKR",2094.47387695313,3619.86157226563,4775.94580078125,7.64705766809787,8.19419106438303,8.47134730676291
"Uruguay","URY",17125.9016800298,18315.7316980028,17881.818721099,9.74834731459277,9.81551562516581,9.79153976173683
"United States","USA",56849.4697923159,65227.9565911038,71307.4017277218,10.9481621727028,11.0856434380861,11.1747554120624
"Uzbekistan","UZB",2803.19018021751,2041.38480729431,2258.51964119278,7.93851339767426,7.62138368364441,7.72246485162217
"Venezuela, RB","VEN",15943.6127197163,15943.6127197163,15943.6127197163,9.67681357156478,9.67681357156478,9.67681357156478
"Viet Nam","VNM",2577.56885340113,3440.90025375434,3704.1935590038,7.85460192878403,8.14348841780231,8.21722085115122
"Kosovo","XKX",3520.62850699375,4415.99716107514,5270.42965289833,8.16639480577665,8.39298894508425,8.56986716627637
"South Africa","ZAF",6112.27382485974,6533.71121032856,6843.39941886204,8.7180541310306,8.78473039319352,8.83103987821914
"Zambia","ZMB",1295.87788680068,1258.98619844462,1127.16077872857,7.16694364932532,7.13806207166863,7.02745716467088
