"Croacia","HRV",31.1,28.9,28.9
"Hungría","HUN",30.4,30.6,30.6
"Indonesia","IDN",38.2,35.4,35.5
"India","IND",27.6,26.4,25.8
"Irlanda","IRL",31.8,30.3,29.4
"Irán, República Islámica del","IRN",35.3,36.5,35.5
"Islandia","ISL",26.8,26.8,26.8
"Israel","ISR",39.7,38.3,37.9
"Italia","ITA",35.4,34.6,34.8
"Jamaica","JAM",37.4857142857143,36.8333333333333,39.9
"Jordania","JOR",33.7,33.7,33.7
"Japón","JPN",30.7,33,32.3
"Kazajstán","KAZ",26.8,28,29.2
"Kenya","KEN",40.8,37.12,38.7
"Kirguistán","KGZ",29,29.7,28.8
"Corea, República de","KOR",33.2,33.2,32.9
"República Democrática Popular Lao","LAO",37.4,38.8,38.8
"Sri Lanka","LKA",39.15,37.7,37.7
"Lituania","LTU",37.4,35.3,36.7
"Luxemburgo","LUX",32.9,34.2,32.7
"Letonia","LVA",34.2,34.5,34.3
"República de Moldova","MDA",27,26,25.7
"Madagascar","MDG",40.6666666666667,38.0888888888889,36.8
"Maldivas","MDV",32.3142857142857,29.3,29.3
"México","MEX",47.9,45.3,44.05
"Macedonia del Norte","MKD",35.6,33.5,33.5
"Malí","MLI",35,35.9,35.7
"Malta","MLT",29.4,31,31.6
"Montenegro","MNE",39,35.7,34.3
"Mongolia","MNG",32.15,32.375,31.725
"Mozambique","MOZ",53.34,50.7,49.9666666666667
"Mauritania","MRT",32.48,32,32
"Malawi","MWI",44.8333333333333,38.5,38.5
"Malasia","MYS",41.1,41.0333333333333,40.7
"Níger","NER",35.05,35.8333333333333,32.9
"Nigeria","NGA",35.9,34.8,34.2
"Nicaragua","NIC",46.2,46.2,46.2
"Países Bajos","NLD",28.2,29.2,25.7
"Noruega","NOR",27.5,27.7,29.1
"Pakistán","PAK",31.3,29.6,29.6
"Panamá","PAN",50.8,49.8,50.9
"Perú","PER",43.4,41.5,40.1
"Filipinas","PHL",44.6,41.7666666666667,40.7
"Polonia","POL",31.8,28.8,28.5
"Portugal","PRT",35.5,32.8,34.6
"Paraguay","PRY",47.6,45.7,42.9
"Ribera Occidental y Gaza","PSE",33.84,34.8571428571429,35.6285714285714
"Rumania","ROU",35.9,34.8,33.9
"Federación de Rusia","RUS",36.5,35.7,35.1
"Rwanda","RWA",44.1666666666667,41.8571428571429,40.6285714285714
"Senegal","SEN",39.1571428571429,37.6,36.2
"El Salvador","SLV",40.6,38.8,39
"Serbia","SRB",40.5,34.5,33.1
"República Eslovaca","SVK",26.5,23.2,24.1
"Eslovenia","SVN",25.4,24.4,24.3
"Suecia","SWE",29.2,29.3,29.8
"República Árabe Siria","SYR",34.0307692307692,29.7846153846154,27.6615384615385
"Chad","TCD",39.9857142857143,37.475,37.425
"Togo","TGO",43,40.9666666666667,37.9
"Tailandia","THA",36,34.9,34.9
"Tayikistán","TJK",34,32.9333333333333,32.4
"Tonga","TON",33.5,29.2333333333333,27.1
"Túnez","TUN",32.8,33.4,33.7
"Turquía","TUR",42.9,43.8,44.4
"Tanzanía","TZA",39.3428571428571,40.5,40.5
"Uganda","UGA",42.35,42.7,42.7
"Ucrania","UKR",25.5,26.6,25.6
"Uruguay","URY",40.1,39.7,40.8
"Estados Unidos","USA",41.5,41.9,39.7
"Uzbekistán","UZB",33.6666666666667,33.1555555555556,32.9
"Venezuela","VEN",44.7,44.7,44.7
"Viet Nam","VNM",35.05,36.25,36.45
"Kosovo","XKX",26.5,40.2,49.4
"Sudáfrica","ZAF",63,63,63
"Zambia","ZMB",55.8,53.3428571428571,52.1142857142857
